Title,Link,Job Type,Campany,Location
System Administrator,https://wuzzuf.net/jobs/p/A9b8OxcZH5tk-System-Administrator-Dough-and-More-Food-Industries-Giza-Egypt,Full TimeOn-site,Dough and More Food Industries -,"6th of October, Giza, Egypt "
Junior Finance Analyst - Portfolio Analysis,https://wuzzuf.net/jobs/p/g/WQx1slF5AxjE-Junior-Finance-Analyst---Portfolio-Analysis-Skill-Farm-Dubai-United-Arab-Emirates,Full Time,Skill Farm -,"Dubai, United Arab Emirates "
Senior Risk Analyst,https://wuzzuf.net/jobs/p/g/yCqrsaKSS8h8-Senior-Risk-Analyst-Skill-Farm-Dubai-United-Arab-Emirates,Full Time,Skill Farm -,"Dubai, United Arab Emirates "
HR Analyst,https://wuzzuf.net/jobs/p/g/sfyHpKqndMR1-HR-Analyst-Skill-Farm-Cairo-Egypt,Full Time,Skill Farm -,"Cairo, Egypt "
Junior Graduate Analyst - Consulting,https://wuzzuf.net/jobs/p/g/P8BTUzhXeumb-Junior-Graduate-Analyst---Consulting-Skill-Farm-Dubai-United-Arab-Emirates,Full Time,Skill Farm -,"Dubai, United Arab Emirates "
Odoo Developer,https://wuzzuf.net/jobs/p/npjtkGkf7KFT-Odoo-Developer-GMC-Cairo-Egypt,Full TimeOn-site,GMC -,"Cairo, Egypt "
Senior UX/UI Designer,https://wuzzuf.net/jobs/p/FaHs8HXT2iec-Senior-UXUI-Designer-Dimofinf-Operations-Center-Cairo-Egypt,Full TimeHybrid,Dimofinf Operations Center -,"Nasr City, Cairo, Egypt "
Quality Control Lab Chemist,https://wuzzuf.net/jobs/p/NLGTRCpawxyz-Quality-Control-Lab-Chemist-KALINE-COSMETICS-Giza-Egypt,Full TimeOn-site,KALINE COSMETICS  -,"6th of October, Giza, Egypt "
IT Manager,https://wuzzuf.net/jobs/p/IbcqLSaDfLfh-IT-Manager-MAC-EGYPT-REAL-ESTATE-CO-Cairo-Egypt,Full TimeOn-site,MAC EGYPT REAL ESTATE CO. -,"Nozha, Cairo, Egypt "
Senior Analyst,https://wuzzuf.net/jobs/p/g/zTZyVw4lcVku-Senior-Analyst-HRcom-Riyadh-Saudi-Arabia,Full Time,HRcom -,"Riyadh, Saudi Arabia "
Senior Analyst - Investments,https://wuzzuf.net/jobs/p/g/qb3K64tV440K-Senior-Analyst---Investments-Mark-Williams-Recruitment-Dubai-United-Arab-Emirates,Full Time,Mark Williams Recruitment -,"Dubai, United Arab Emirates "
Senior Compliance Analyst (Client Acceptance),https://wuzzuf.net/jobs/p/g/PUezUEx1MvZf-Senior-Compliance-Analyst-Client-Acceptance-ADCB-Abu-Dhabi-Commercial-Bank-Dubai-United-Arab-Emirates,Full Time,ADCB Abu Dhabi Commercial Bank -,"Dubai, United Arab Emirates "
Protein Design- Senior Scientist,https://wuzzuf.net/jobs/p/g/bGcEVxx5afoW-Protein-Design--Senior-Scientist-Amgen-Cairo-Egypt,Full Time,Amgen -,"Cairo, Egypt "
Full Stack .Net Developer,https://wuzzuf.net/jobs/p/AtoyqNYv3gjV-Full-Stack-Net-Developer-Cairo-Egypt,Full TimePart TimeRemote,Confidential -,"Maadi, Cairo, Egypt "
Network Technical Support,https://wuzzuf.net/jobs/p/K3CU32WrwonX-Network-Technical-Support-IT-Pillars-Cairo-Egypt,Full TimeOn-site,IT Pillars -,"Nasr City, Cairo, Egypt "
Safety And Security Supervisor,https://wuzzuf.net/jobs/p/g/rpQ8LcOyHrnM-Safety-And-Security-Supervisor-Medical-Fakeeh-Makkah-Saudi-Arabia,Full Time,Medical Fakeeh -,"Makkah, Saudi Arabia "
Validation Engineer,https://wuzzuf.net/jobs/p/g/DAtctCZWIFSF-Validation-Engineer-General-Motors-Africa-Middle-East-Cairo-Egypt,Full Time,General Motors Africa & Middle East -,"Cairo, Egypt "
Presales Manager,https://wuzzuf.net/jobs/p/g/mVAjMsmmeWW1-Presales-Manager-Keyloop-Dubai-United-Arab-Emirates,Full Time,Keyloop -,"Dubai, United Arab Emirates "
DAZU Pay - Python Developer (FinTech),https://wuzzuf.net/jobs/p/W0VYGNXflPIv-DAZU-Pay---Python-Developer-FinTech-Bright-Creations-Giza-Egypt,Full TimeFreelance / ProjectHybrid,Bright Creations -,"Smart Village, Giza, Egypt "
Backend Developer (Laravel),https://wuzzuf.net/jobs/p/8qanyBUYibVu-Backend-Developer-Laravel-Bright-Creations-Giza-Egypt,Full TimeHybrid,Bright Creations -,"Smart Village, Giza, Egypt "
DAZU - ReactJS Frontend Developer,https://wuzzuf.net/jobs/p/cLyMjSlnsLL9-DAZU---ReactJS-Frontend-Developer-Bright-Creations-Giza-Egypt,Full TimeHybrid,Bright Creations -,"Smart Village, Giza, Egypt "
Analyst,https://wuzzuf.net/jobs/p/g/OsGYHxamzWFd-Analyst-Dar-Masarat-دار-مسارات-Riyadh-Saudi-Arabia,Full Time,Dar Masarat | دار مسارات -,"Riyadh, Saudi Arabia "
Backend Engineer (Node.js/Express),https://wuzzuf.net/jobs/p/yoQQAK45ltyM-Backend-Engineer-NodejsExpress-Raad-Alfaris-Information-Technology-Co-Cairo-Egypt,Full TimeRemote,Raad Alfaris Information Technology Co -,"Cairo, Egypt "
Command Center Engineer (Specialized in GPS),https://wuzzuf.net/jobs/p/g/M5PRNNVDf7sm-Command-Center-Engineer-Specialized-in-GPS-Al-Dawaa-Medical-Services-Co-Ltd-Riyadh-Saudi-Arabia,Full Time,Al-Dawaa Medical Services Co. Ltd -,"Riyadh, Saudi Arabia "
Software QC Lead,https://wuzzuf.net/jobs/p/JXbP7E2cTHPp-Software-QC-Lead-Cairo-Egypt,Full TimeOn-site,Confidential -,"New Cairo, Cairo, Egypt "
Senior Backend Developer (Laravel and Symfony),https://wuzzuf.net/jobs/p/usqg9Jmr0hsg-Senior-Backend-Developer-Laravel-and-Symfony-TechJump-Alexandria-Egypt,Full TimeHybrid,TechJump -,"Alexandria, Egypt "
Junior PHP Developer,https://wuzzuf.net/jobs/p/LmgBQi4DZLkW-Junior-PHP-Developer-Alexandria-Egypt,Full TimeOn-site,Confidential -,"Alibrahimiyyah, Alexandria, Egypt "
IT System Administrator,https://wuzzuf.net/jobs/p/lQIMtJ2pmqKj-IT-System-Administrator-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt,Full TimeOn-site,Selah ElTelmeez For Publishing & printing -,"Obour City, Cairo, Egypt "
Remote Work From Home Administrative Clerks,https://wuzzuf.net/jobs/p/g/KZdlw0NUxPrz-Remote-Work-From-Home-Administrative-Clerks-Alison-Phillips-Dubai-United-Arab-Emirates,Full Time,Alison Phillips -,"Dubai, United Arab Emirates "
Urgent Online Administrative Support - Remote Work,https://wuzzuf.net/jobs/p/g/BpCOzaJrzMHz-Urgent-Online-Administrative-Support---Remote-Work-Alison-Phillips-Riyadh-Saudi-Arabia,Full Time,Alison Phillips -,"Riyadh, Saudi Arabia "
Work Remotely for Administrative Support Roles,https://wuzzuf.net/jobs/p/g/3zdZpiTfFM8o-Work-Remotely-for-Administrative-Support-Roles-Alison-Phillips-Dubai-United-Arab-Emirates,Full Time,Alison Phillips -,"Dubai, United Arab Emirates "
Entry-Level Remote Administrative Clerk,https://wuzzuf.net/jobs/p/g/9MGe52HUdXOx-Entry-Level-Remote-Administrative-Clerk-City-Swap-Network-Inc-Dubai-United-Arab-Emirates,Full Time,"City Swap Network, Inc. -","Dubai, United Arab Emirates "
